ID, Enemies, Tag
Pakistan,56,
Iran,52,
Japan,45,
Yemen,41,
Thailand,40,
Iraq,36,
Finland,36,
China,35,
Turkey,35,
Croatia,34,
Hungary,34,
Slovakia,33,
Cuba,32,
Russia,32,
Germany,30,
France,25,
North Korea,23,
Libya,21,
United States,20,
Egypt,19,
Spain,19,
Belgium,16,
Dominica,16,
Chile,16,
Philippines,16,
Serbia,14,
Liberia,14,
Syria,14,
Colombia,13,
Israel,13,
Romania,12,
Bulgaria,12,
Ethiopia,12,
Saudi Arabia,12,
Turkey,11,
United Kingdom,11,
Portugal,10,
Brazil,10,
Peru,10,
Lebanon,10,
Denmark,9,
Norway,9,
Mexico,9,
India,9,
Italy,9,
Ecuador,9,
Venezuela,9,
Argentina,9,
Bolivia,9,
Honduras,9,
Sweden,8,
San Marino,8,
Armenia,8,
Paraguay,8,
Guatemala,8,
Nicaragua,8,
Haiti,8,
Costa Rica,8,
Panama,8,
Poland,8,
Sudan,8,
Lithuania,7,
Latvia,7,
Estonia,7,
New Zealand,7,
Greece,7,
Austria,7,
Morocco,7,
Uruguay,7,
Grenada,7,
Laos,7,
Afghanistan,7,
Nepal,6,
Mongolia,6,
Viet Minh,6,
Eritrea,6,
Uzbekistan,6,
Indonesia,6,
El Salvador,6,
Luxembourg,6,
Canada,6,
Australia,6,
Jordan,6,
South Korea,6,
Uganda,6,
Algeria,5,
Albania,5,
Democratic Republic of the Congo,5,
Mali,5,
Republic of the Congo,5,
Cambodia,5,
Vietnam,5,
Qatar,5,
Malaysia,5,
Azerbaijan,5,
Somalia,5,
Macedonia,4,
Guinea,4,
Republic of Ireland,4,
Ghana,4,
Tunisia,4,
Chad,4,
Georgia,4,
Montenegro,3,
Bosnia and Herzegovina,3,
Jamaica,3,
Niger,3,
Tajikistan,3,
Ukraine,3,
Mozambique,3,
Singapore,3,
Angola,3,
Slovenia,2,
Benin,2,
Mauritania,2,
Saint Vincent and the Grenadines,2,
Saint Lucia,2,
Barbados,2,
Antigua and Barbuda,2,
Djibouti,2,
Kuwait,2,
United Arab Emirates,2,
Tonga,2,
Switzerland,2,
Iceland,2,
Bahrain,2,
Czech Republic,2,
Burundi,2,
Rwanda,2,
Source,1,
Target,1,
Kingdom of the Netherlands,1,
Malta,1,
Belarus,1,
Fiji,1,
Moldova,1,
Bhutan,1,
East Timor,1,
Cameroon,1,
Cyprus,1,
Turkmenistan,1,
Kyrgyzstan,1,
Kazakhstan,1,
Kenya,1,
Seychelles,1,
Sierra Leone,1,
Bangladesh,1,
Senegal,1,
Tanzania,1,
